field,type,example
file_x509_subject_locality,keyword,San Francisco
file_x509_subject_organization,keyword,"Example, Inc."
file_x509_subject_organizational_unit,keyword,
file_x509_subject_state_or_province,keyword,California
file_x509_version_number,keyword,3
gen_ai_agent_description,keyword,Helps with math problems; Generates fiction stories
gen_ai_agent_id,keyword,asst_5j66UpCpwteGg4YSxUnt7lPY
gen_ai_agent_name,keyword,Math Tutor; Fiction Writer
gen_ai_operation_name,keyword,chat; text_completion; embeddings
gen_ai_output_type,keyword,text; json; image
gen_ai_request_choice_count,integer,3
gen_ai_request_encoding_formats,nested,"[""float"", ""binary""]"
gen_ai_request_frequency_penalty,double,0.1
gen_ai_request_max_tokens,integer,100
gen_ai_request_model,keyword,gpt-4
gen_ai_request_presence_penalty,double,0.1
gen_ai_request_seed,integer,100
gen_ai_request_stop_sequences,nested,"[""forest"", ""lived""]"
gen_ai_request_temperature,double,0.0
gen_ai_request_top_k,double,1.0
gen_ai_request_top_p,double,1.0
gen_ai_response_finish_reasons,nested,"[""stop"", ""length""]"
gen_ai_response_id,keyword,chatcmpl-123
gen_ai_response_model,keyword,gpt-4-0613
gen_ai_system,keyword,openai
gen_ai_token_type,keyword,input; output
gen_ai_tool_call_id,keyword,call_mszuSIzqtI65i1wAUOE8w5H4
gen_ai_tool_name,keyword,Flights
gen_ai_tool_type,keyword,function; extension; datastore
gen_ai_usage_input_tokens,integer,100
gen_ai_usage_output_tokens,integer,180
group_domain,keyword,
group_id,keyword,
group_name,keyword,
host_architecture,keyword,x86_64
host_boot_id,keyword,88a1f0ed-5ae5-41ee-af6b-41921c311872
host_cpu_usage,scaled_float,
host_disk_read_bytes,long,
host_disk_write_bytes,long,
host_domain,keyword,CONTOSO
host_geo_city_name,keyword,Montreal
host_geo_continent_code,keyword,
host_geo_continent_name,keyword,North America
host_geo_country_iso_code,keyword,CA
host_geo_country_name,keyword,Canada
host_geo_location,geo_point,"{ ""lon"": -73.614830, ""lat"": 45.505918 }"
host_geo_name,keyword,boston-dc
host_geo_postal_code,keyword,94040
host_geo_region_iso_code,keyword,CA-QC
host_geo_region_name,keyword,Quebec
host_geo_timezone,keyword,America/Argentina/Buenos_Aires
host_hostname,keyword,
host_id,keyword,
host_ip,ip,
host_mac,keyword,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]"
host_name,keyword,
host_network_egress_bytes,long,
host_network_egress_packets,long,
host_network_ingress_bytes,long,
host_network_ingress_packets,long,
host_os_family,keyword,debian
host_os_full,keyword,Mac OS Mojave
host_os_full_text,match_only_text,Mac OS Mojave
host_os_kernel,keyword,4.4.0-112-generic
host_os_name,keyword,Mac OS X
host_os_name_text,match_only_text,Mac OS X
host_os_platform,keyword,darwin
host_os_type,keyword,macos
host_os_version,keyword,10.14.1
host_pid_ns_ino,keyword,256383
host_risk_calculated_level,keyword,High
host_risk_calculated_score,float,880.73
host_risk_calculated_score_norm,float,88.73
host_risk_static_level,keyword,High
host_risk_static_score,float,830.0
host_risk_static_score_norm,float,83.0
host_type,keyword,
host_uptime,long,1325
http_request_body_bytes,long,887
http_request_body_content,wildcard,Hello world
http_request_body_content_text,match_only_text,Hello world
http_request_bytes,long,1437
http_request_id,keyword,123e4567-e89b-12d3-a456-426614174000
http_request_method,keyword,POST
http_request_mime_type,keyword,image/gif
http_request_referrer,keyword,https://blog.example.com/
http_response_body_bytes,long,887
http_response_body_content,wildcard,Hello world
http_response_body_content_text,match_only_text,Hello world
http_response_bytes,long,1437
http_response_mime_type,keyword,image/gif
http_response_status_code,long,404
http_version,keyword,1.1
log_file_path,keyword,/var/log/fun-times.log
log_level,keyword,error
log_logger,keyword,org.binaryfluxsearch.bootstrap.Bootstrap
log_origin_file_line,long,42
log_origin_file_name,keyword,Bootstrap.java
log_origin_function,keyword,init
log_syslog,object,
log_syslog_appname,keyword,sshd
log_syslog_facility_code,long,23
